season,week,game_id,home,away,spread_home,total,ml_home,ml_away,mkt_spread_home,mkt_total,mkt_ml_home,mkt_ml_away,ou_in_pool,saved_at
2026,2,2026_02_CAR_ATL,ATL,CAR,-1.5,43.5,105,-125,-2.5,43.5,130,-155,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_CIN_HOU,HOU,CIN,2.5,46.5,-148,124,2.5,46.5,-142,120,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_CLE_TB,TB,CLE,8.5,41.5,-410,320,8.5,41.5,-455,350,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_DET_BUF,BUF,DET,4.5,54.5,-218,180,4.5,54.5,-238,195,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_GB_NYJ,NYJ,GB,-4.5,44.5,170,-205,-3.5,44.5,160,-192,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_IND_KC,KC,IND,6.5,46.5,-305,245,6.5,46.5,-278,225,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_JAX_DEN,DEN,JAX,2.5,44.5,-135,114,2.5,45.5,-148,124,True,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_LV_LAC,LAC,LV,6.5,43.5,-310,250,6.5,43.5,-305,245,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_MIA_SF,SF,MIA,12.5,44.5,-950,625,13.5,44.5,-900,600,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_MIN_CHI,CHI,MIN,5.5,48.5,-238,195,4.5,48.5,-205,170,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_NO_BAL,BAL,NO,8.5,46.5,-410,320,8.5,46.5,-380,300,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_NYG_LA,LA,NYG,6.5,47.5,-355,280,7.0,47.5,-355,280,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_PHI_TEN,TEN,PHI,-7.5,39.5,245,-305,-7.0,39.5,250,-310,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_PIT_NE,NE,PIT,5.5,41.5,-230,190,5.5,41.5,-225,185,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_SEA_ARI,ARI,SEA,-4.5,41.5,195,-225,-3.5,41.5,180,-218,False,2026-09-17T09:40:05.900687+00:00
2026,2,2026_02_WAS_DAL,DAL,WAS,3.5,50.5,-225,185,4.5,50.5,-218,180,False,2026-09-17T09:40:05.900687+00:00
2026,3,2026_03_ARI_SF,SF,ARI,8.5,47.5,-485,370,8.5,47.5,-455,350,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_ATL_GB,GB,ATL,6.5,42.5,-290,235,4.5,42.5,-245,200,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_BAL_DAL,DAL,BAL,-2.5,52.5,130,-155,-3.5,52.5,150,-180,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_CAR_CLE,CLE,CAR,-2.5,42.5,124,-148,-2.5,42.5,124,-148,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_CIN_PIT,PIT,CIN,-3.5,42.5,154,-185,-3.5,42.5,160,-192,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_HOU_IND,IND,HOU,-2.5,42.5,120,-142,-2.5,42.5,120,-142,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_KC_MIA,MIA,KC,-11.5,46.5,575,-850,-10.5,46.5,470,-650,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_LAC_BUF,BUF,LAC,7.5,50.5,-325,260,7.0,50.5,-345,275,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_LA_DEN,DEN,LA,-2.5,44.5,120,-142,-2.5,44.5,114,-135,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_LV_NO,NO,LV,3.5,44.5,-192,160,3.0,43.5,-185,154,True,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_MIN_TB,TB,MIN,-1.5,42.5,100,-120,-1.5,42.5,102,-122,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_NE_JAX,JAX,NE,2.5,45.5,-166,140,3.0,45.5,-155,130,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_NYJ_DET,DET,NYJ,6.5,47.5,-305,245,6.5,47.5,-305,245,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_PHI_CHI,CHI,PHI,-3.5,41.5,145,-175,-4.5,41.5,185,-225,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_SEA_WAS,WAS,SEA,-6.5,40.5,245,-305,-7.0,40.5,275,-345,False,2026-09-24T08:27:21.757756+00:00
2026,3,2026_03_TEN_NYG,NYG,TEN,2.5,39.5,-155,130,3.0,39.5,-142,120,False,2026-09-24T08:27:21.757756+00:00
